gene_short_name,CNS_assoc_HPOs,CNS_HP_Count,pvalue_CNS_more,pvalue_CNS_less,DownGeneDrugs,UpGeneDrugs
ABAT,"HP:0001273, HP:0001317, HP:0001321, HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0007360, HP:0007364, HP:0007370, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0100547",16,0.000140311,,"nifedipine, propranolol, warfarin",
ACADVL,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0100547",7,,5.78319E-08,,tretinoin
ACOX2,HP:0012759,1,,4.797E-08,,"cilostazol, corynanthine"
ACP5,"HP:0002011, HP:0002060, HP:0002118, HP:0002500, HP:0002518, HP:0012443, HP:0012503, HP:0012639, HP:0012759, HP:0030047, HP:0100547",11,,3.35206E-05,,"phenylbutazone, zidovudine"
ACTA1,"HP:0012639, HP:0012759",2,,1.80522E-11,,"corynanthine, retinol"
ACTA2,"HP:0002011, HP:0002060, HP:0002118, HP:0002143, HP:0002500, HP:0002518, HP:0009145, HP:0010303, HP:0010651, HP:0012443, HP:0012639, HP:0012703, HP:0012759, HP:0100547, HP:0100659",15,,6.08854E-09,,chlorambucil
ACTB,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002118, HP:0002120, HP:0002143, HP:0002414, HP:0002500, HP:0002538, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0010301, HP:0012157, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100308, HP:0100547, HP:0100659, HP:0410043",25,,0.000826135,,"ketoprofen, leflunomide"
ACTC1,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,,4.83285E-13,,"corynanthine, daunorubicin"
ACTG2,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0100547",7,,3.48495E-09,,"albendazole, ketoprofen, ribavirin"
ADD3,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,,0.000386854,,"acebutolol, chlormadinone, clomipramine, cortisol, depomedrol, diflunisal, genistein, haloperidol, isotretinoin, ketorolac, levisoprenaline, trimethadione"
AEBP1,HP:0012759,1,,3.69324E-05,,"diazepam, ethotoin, perphenazine"
AGT,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0100547",7,,0.000116774,,"alpha-estradiol, beclometasone, daunorubicin, flutamide, lynestrenol, misoprostol"
AHR,HP:0012759,1,,4.34713E-06,,"benzo(a)pyrene, ritodrine, thiotepa"
AHSG,"HP:0001273, HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",10,,3.27195E-14,,depomedrol
AKT1,"HP:0001317, HP:0002011, HP:0002118, HP:0002143, HP:0002176, HP:0002363, HP:0010662, HP:0010663, HP:0011282, HP:0011283, HP:0011751, HP:0012443, HP:0012503, HP:0012639, HP:0012759, HP:0100010, HP:0100547, HP:0100659",18,,2.007E-05,,"clomifene, misoprostol"
ALB,HP:0012759,1,,4.42301E-08,,"depomedrol, metrifonate, verapamil"
ALDOA,HP:0012759,1,,4.77041E-05,,"heliotrine, procarbazine"
ALDOB,HP:0012759,1,,8.57334E-19,,"mometasone, ochratoxin-a, prostaglandin-e1"
ANG,"HP:0002011, HP:0002180, HP:0007367, HP:0012639, HP:0012757",5,,4.23979E-06,,levisoprenaline
AP1S1,HP:0012759,1,,0.000710558,,"cortisol, phensuximide"
APOB,"HP:0002011, HP:0009145, HP:0012443, HP:0012639, HP:0100659",5,,8.50503E-16,,"dichloroacetic-acid, ketoprofen"
ARG1,"HP:0001272, HP:0001317, HP:0002011, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759",8,,0.000412356,,"acetazolamide, estradiol, methimazole, oxaprozin, thalidomide"
ARNT2,"HP:0001273, HP:0001317, HP:0002011, HP:0002060, HP:0002079, HP:0002500, HP:0002977, HP:0007360, HP:0007364, HP:0007370, HP:0007375, HP:0010627, HP:0011282, HP:0011283, HP:0012443, HP:0012503, HP:0012639, HP:0012759, HP:0100547",19,0.000119747,,"bupivacaine, ketorolac",
ASNS,"HP:0001273, HP:0001317, HP:0001321, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002363, HP:0002500, HP:0002538, HP:0002539, HP:0002977, HP:0007360, HP:0007361, HP:0007364, HP:0007370, HP:0011282, HP:0011283, HP:0012110, HP:0012443, HP:0012639, HP:0012759, HP:0100547",23,0.003284094,,"depomedrol, fumonisin-b1, ibuprofen, mephenytoin, phenytoin, ribavirin",
ASPA,"HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0007367, HP:0012443, HP:0012444, HP:0012639, HP:0012751, HP:0012759, HP:0012762, HP:0100547",12,,1.48125E-10,,"cilostazol, nifedipine"
ASS1,"HP:0002011, HP:0002060, HP:0012443, HP:0012639, HP:0012759, HP:0100547, HP:0100659",7,,4.52279E-06,,"azacitidine, chlorcyclizine, cytochalasin-b, floxuridine, pyrimethamine"
ATP1A2,"HP:0001272, HP:0001273, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002062, HP:0002500, HP:0002538, HP:0002977, HP:0006919, HP:0007363, HP:0007364, HP:0007367, HP:0007369, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",22,0.002655712,,androstenedione,
AUTS2,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,0.000231517,,"acyclovir, caffeine, calcipotriol, chlordiazepoxide, doxorubicin, lonidamine",
BAG3,HP:0012639,1,,2.57111E-05,,"cyclosporin-a, ethionamide, fluorouracil, resveratrol"
BCL11A,"HP:0001272, HP:0001317, HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0100547",12,0.000519408,,isosorbide,
BCL7B,"HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002062, HP:0002120, HP:0002143, HP:0002414, HP:0002492, HP:0002538, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007372, HP:0010301, HP:0010662, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547, HP:0100659, HP:0410043",26,,2.27336E-05,,leflunomide
BCOR,"HP:0001273, HP:0001317, HP:0001320, HP:0001321, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002334, HP:0002500, HP:0002977, HP:0006817, HP:0006919, HP:0007360, HP:0007364, HP:0007370, HP:0010950, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0100547",23,,0.000958746,,fluorouracil
BGN,"HP:0002011, HP:0002118, HP:0009145, HP:0012443, HP:0012639, HP:0100659",6,,0.000102419,,"fenoterol, phenylbutazone"
BLNK,"HP:0002011, HP:0012639",2,,0.000263914,,"etoposide, floxuridine"
BMP4,"HP:0001273, HP:0001317, HP:0001320, HP:0001321, HP:0002011, HP:0002059, HP:0002060, HP:0002118, HP:0002120, HP:0002334, HP:0002500, HP:0002538, HP:0002977, HP:0006817, HP:0007068, HP:0007360, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0011000, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012503, HP:0012639, HP:0012759, HP:0100547",29,,2.73275E-09,,isotretinoin
BUB1B,"HP:0001273, HP:0001317, HP:0001320, HP:0001321, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002334, HP:0002500, HP:0002977, HP:0006817, HP:0006849, HP:0006872, HP:0007360, HP:0007364, HP:0007370, HP:0010950, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0100547",24,,0.000547649,,chloramphenicol
CACNA2D2,"HP:0001272, HP:0001317, HP:0002011, HP:0002334, HP:0006855, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759",10,0.004320251,,"carbamazepine, floxuridine",
CAPN1,HP:0012639,1,,0.000573223,,bupivacaine
CAPN3,HP:0012639,1,,6.92688E-07,,trimethadione
CAV1,HP:0012759,1,,5.50329E-05,,"acyclovir, caffeine, chloramphenicol, chlordiazepoxide, methotrexate, thalidomide"
CCL2,"HP:0002011, HP:0002060, HP:0002118, HP:0002143, HP:0002414, HP:0002977, HP:0007364, HP:0010301, HP:0010651, HP:0012443, HP:0012639, HP:0100547, HP:0410043",13,,9.04898E-05,,"chlormadinone, idoxuridine, levisoprenaline"
CCND1,"HP:0001317, HP:0002011, HP:0002143, HP:0002176, HP:0009713, HP:0010302, HP:0011282, HP:0011283, HP:0012443, HP:0012639",10,,7.47069E-05,,"bupivacaine, lamotrigine"
CCNF,"HP:0002011, HP:0002180, HP:0007367, HP:0012639, HP:0012757",5,,3.34811E-06,,"parbendazole, reserpine"
CD59,"HP:0002011, HP:0012639",2,,0.000866094,,"decitabine, methyldopa, pseudoephedrine"
CD79A,"HP:0002011, HP:0012639",2,,7.16234E-11,,valproic-acid
CDC42,"HP:0001272, HP:0001273, HP:0001317, HP:0001320, HP:0001321, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002118, HP:0002120, HP:0002334, HP:0002500, HP:0002518, HP:0002538, HP:0002977, HP:0006817, HP:0007033, HP:0007360, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0010950, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",31,,0.000133123,,cycloheximide
CDH1,"HP:0002011, HP:0012639, HP:0012759, HP:0410043",4,,4.6712E-09,,"heliotrine, lidocaine, perphenazine"
CDH11,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,0.004268383,,ethionamide,
CDH2,"HP:0001273, HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0006919, HP:0007364, HP:0007370, HP:0010662, HP:0012286, HP:0012443, HP:0012639, HP:0012703, HP:0012759, HP:0100547",15,3.65093E-09,,"caffeine, chlormadinone, cortisone, diphenhydramine, heliotrine, primidone",
CDK6,"HP:0001273, HP:0002011, HP:0002060, HP:0002118, HP:0002500, HP:0002538, HP:0002977, HP:0006872, HP:0007333, HP:0007364, HP:0007370, HP:0012443, HP:0012639, HP:0012759, HP:0100547",15,,0.000342635,,"dichloroacetic-acid, metronidazole, valproic-acid"
CDKN1A,"HP:0002011, HP:0012443, HP:0012503, HP:0012639, HP:0100705",5,,7.74857E-06,,doxorubicin
CDKN1B,"HP:0002011, HP:0012443, HP:0012503, HP:0012639, HP:0100705",5,,0.00015791,,"mepireserpate, retinol"
CDKN2A,"HP:0002011, HP:0002118, HP:0007376, HP:0012443, HP:0012639, HP:0100705, HP:0100707",7,,0.000792832,,fenoterol
CDKN2C,"HP:0002011, HP:0012443, HP:0012503, HP:0012639, HP:0100705",5,,5.22542E-05,,thiotepa
CENPE,"HP:0001273, HP:0001317, HP:0001321, HP:0002011, HP:0002060, HP:0002500, HP:0002538, HP:0002977, HP:0007360, HP:0007364, HP:0007370, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0100547",17,,0.000182647,,BRD-A66861218
CFB,"HP:0002011, HP:0012639",2,,2.05092E-08,,"isoreserpine, isosorbide, menadione, metrifonate, terbutaline"
CFH,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,,8.65901E-07,,"ethionamide, ethosuximide, ethotoin, isoreserpine, mefenamic-acid, mifepristone, terbutaline, tolfenamic-acid"
CFI,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,,1.59988E-09,,"chloramphenicol, isosorbide, mestinon, zonisamide"
CHD7,"HP:0001317, HP:0001320, HP:0001321, HP:0002011, HP:0002060, HP:0002118, HP:0002334, HP:0002977, HP:0006817, HP:0006919, HP:0007360, HP:0007364, HP:0010662, HP:0010950, HP:0011282, HP:0011283, HP:0012443, HP:0012503, HP:0012639, HP:0012759, HP:0100547",21,0.007404653,,teniposide,
CHEK2,"HP:0002011, HP:0002118, HP:0007376, HP:0012443, HP:0012639, HP:0100705, HP:0100707",7,,0.000345334,,"dacarbazine, ethosuximide, levisoprenaline, nifedipine"
CHN1,"HP:0002011, HP:0002060, HP:0002143, HP:0002414, HP:0002977, HP:0007364, HP:0010301, HP:0012443, HP:0012639, HP:0012759, HP:0100547, HP:0410043",12,0.00032826,,"domperidone, methyldopa, teniposide",
CHP1,"HP:0001272, HP:0001317, HP:0002011, HP:0002334, HP:0006855, HP:0011282, HP:0011283, HP:0012443, HP:0012639",9,,4.01643E-06,,valproic-acid
CITED2,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,,0.000197625,,"dexketoprofen, levodopa, trimethadione, TTNPB"
CLCN3,"HP:0001273, HP:0001317, HP:0001321, HP:0002011, HP:0002059, HP:0002060, HP:0002118, HP:0002120, HP:0002363, HP:0002500, HP:0002538, HP:0002977, HP:0006913, HP:0006919, HP:0007343, HP:0007360, HP:0007361, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0011282, HP:0011283, HP:0011931, HP:0011932, HP:0012110, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0025100, HP:0025517, HP:0030047, HP:0100321, HP:0100547, HP:0100659",36,0.005249262,,prednisolone,
COCH,HP:0012639,1,0.026176141,,"albendazole, chloramphenicol, cyclophosphamide, diazepam, methotrexate, nicotine, progesterone, zidovudine",
COL11A1,"HP:0002011, HP:0002060, HP:0010651, HP:0010652, HP:0010653, HP:0012443, HP:0012639, HP:0100547",8,0.044034334,,"aspirin, cortisol, cyproterone, diphenhydramine, phensuximide, thalidomide, tolfenamic-acid, yohimbine",
COL14A1,"HP:0002011, HP:0012639",2,,5.17152E-13,,"diflunisal, genistein"
COL18A1,"HP:0001272, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002118, HP:0002538, HP:0002977, HP:0007367, HP:0007369, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0100547",16,,7.11006E-05,,"isosorbide, tretinoin"
COL1A1,"HP:0002011, HP:0009145, HP:0012443, HP:0012639, HP:0012759, HP:0100659",6,,8.15219E-18,,"idoxuridine, mephenytoin, trimethadione"
COL1A2,HP:0012759,1,,9.3988E-07,,"dacarbazine, ketoprofen, parbendazole, sertaconazole, trimethadione"
COL2A1,"HP:0002011, HP:0002060, HP:0002143, HP:0002176, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,,8.87152E-08,,"azacitidine, sulfasalazine"
COL3A1,"HP:0001273, HP:0001317, HP:0001321, HP:0002011, HP:0002060, HP:0002118, HP:0002363, HP:0002365, HP:0002500, HP:0002538, HP:0002977, HP:0007360, HP:0007362, HP:0009145, HP:0011282, HP:0011283, HP:0012443, HP:0012518, HP:0012639, HP:0012703, HP:0012759, HP:0100547, HP:0100659",23,,5.6431E-09,,"albendazole, metronidazole, trimethadione, TTNPB"
COL5A1,"HP:0002011, HP:0009145, HP:0012443, HP:0012639, HP:0012759, HP:0100659",6,,7.09618E-06,,methotrexate
COL5A2,"HP:0002011, HP:0009145, HP:0012443, HP:0012639, HP:0012759, HP:0100659",6,,0.00081555,,"albendazole, betamethasone, cyclopamine, metronidazole, perphenazine"
COL6A2,"HP:0012639, HP:0012759",2,,7.59053E-06,,"cyclopamine, tretinoin"
COL6A3,"HP:0012639, HP:0012759",2,,1.40545E-08,,sertaconazole
COLEC11,"HP:0002011, HP:0002143, HP:0002414, HP:0010301, HP:0012639, HP:0012759, HP:0410043",7,,0.0001447,,reserpine
COMP,"HP:0002011, HP:0002143, HP:0002176, HP:0012639",4,,3.66285E-07,,"azacitidine, chlorambucil, ethotoin, ketorolac, metronidazole, procarbazine"
COX7B,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002500, HP:0002977, HP:0007364, HP:0007370, HP:0007375, HP:0012443, HP:0012639, HP:0012759, HP:0030047, HP:0100547",15,,4.745E-07,,decitabine
CP,"HP:0001317, HP:0002011, HP:0002060, HP:0010662, HP:0010663, HP:0010994, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0100321, HP:0100547",12,,5.31073E-09,,"benzo(a)pyrene, dacarbazine, estradiol-benzoate, ethosuximide, fumonisin-b1, menadione, metrifonate, prostaglandin-e1, ritodrine"
CPE,"HP:0002011, HP:0012443, HP:0012503, HP:0012639, HP:0012759",5,6.94633E-08,,"alpha-estradiol, CD-437, cortisol, diflunisal, floxuridine, hexachlorophene, mepireserpate, ribavirin",
CPS1,"HP:0002011, HP:0002060, HP:0012443, HP:0012639, HP:0012759, HP:0100547, HP:0100659",7,,2.59701E-10,,"benzo(a)pyrene, dichloroacetic-acid, exemestane, prostaglandin-e1, reserpine, vidarabine"
CRYAB,HP:0012639,1,,5.49379E-11,,"alpha-estradiol, aspirin, bupivacaine, cilostazol, esmolol, etoposide, flutamide, isosorbide, isoxsuprine, ketorolac, menadione, progesterone, zidovudine"
CTNNA2,"HP:0001273, HP:0001317, HP:0001321, HP:0002011, HP:0002060, HP:0002079, HP:0002363, HP:0002365, HP:0002500, HP:0002538, HP:0002977, HP:0007360, HP:0007362, HP:0007364, HP:0007370, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0100547",21,1.15835E-08,,TTNPB,
CTNND2,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,7.74894E-09,,androstenedione,
CTSC,"HP:0002011, HP:0002060, HP:0002118, HP:0007376, HP:0012443, HP:0012639, HP:0100547",7,,0.000201765,,tolmetin
CYB5A,"HP:0001272, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002120, HP:0002283, HP:0002538, HP:0002977, HP:0006913, HP:0007112, HP:0007364, HP:0007367, HP:0007369, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012503, HP:0012639, HP:0012759, HP:0100547",22,,5.45021E-05,,"caffeine, carbamazepine, levisoprenaline, methimazole"
CYBA,"HP:0002011, HP:0012639",2,,7.07537E-05,,"bupivacaine, tolfenamic-acid, vidarabine"
CYFIP2,"HP:0001272, HP:0001273, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002118, HP:0002500, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",19,0.000308616,,"corynanthine, diflorasone, sulfadiazine",
CYP27B1,HP:0012759,1,,0.00085154,,zonisamide
DDB2,"HP:0002011, HP:0002059, HP:0002060, HP:0002120, HP:0002538, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",14,,0.000801827,,chlorambucil
DENND5A,"HP:0001317, HP:0001320, HP:0001321, HP:0002011, HP:0002060, HP:0002118, HP:0002334, HP:0002977, HP:0006817, HP:0007360, HP:0007364, HP:0010950, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0100547",18,0.01148593,,indometacin,
DES,HP:0012639,1,,9.70593E-21,,"ethinyl-estradiol, ethionamide, lynestrenol"
DHCR24,"HP:0001273, HP:0002011, HP:0002060, HP:0002118, HP:0002500, HP:0002538, HP:0002977, HP:0007364, HP:0007370, HP:0007375, HP:0012443, HP:0012639, HP:0012759, HP:0100547",14,,0.000523448,,quercetin
DLD,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,,1.29573E-06,,"cortisol, ethosuximide, fenoterol, primidone, progesterone"
DLK1,"HP:0002011, HP:0002060, HP:0002143, HP:0002538, HP:0002977, HP:0007364, HP:0010301, HP:0012443, HP:0012639, HP:0012759, HP:0100547, HP:0410043",12,,1.83239E-25,,"AM-580, busulfan, chloramphenicol, clomipramine, decitabine, diflorasone, diphenhydramine, etoposide, hydrocortisone, lonidamine, mestinon, misoprostol, nimodipine, phenylbutazone, phenytoin, thalidomide, trimethadione, TTNPB, zidovudine"
DMD,"HP:0002011, HP:0012639, HP:0012703, HP:0012759",4,0.002046452,,isotretinoin,
DMXL2,"HP:0001272, HP:0001273, HP:0001317, HP:0001321, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002500, HP:0002506, HP:0002538, HP:0002977, HP:0006919, HP:0007360, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0010627, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012503, HP:0012639, HP:0012759, HP:0100547",27,7.77234E-05,,"cycloheximide, depomedrol, levisoprenaline, tolbutamide, valproic-acid, vidarabine",
DNAJB6,HP:0012639,1,,4.01948E-06,,"haloperidol, mepireserpate"
DNAJC6,"HP:0002011, HP:0007367, HP:0012443, HP:0012444, HP:0012639, HP:0012759",6,0.005148868,,"dacarbazine, sertaconazole",
DNASE1L3,"HP:0002011, HP:0012639",2,,1.73417E-11,,lamotrigine
DNM1L,"HP:0001272, HP:0001273, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002363, HP:0002500, HP:0002506, HP:0002518, HP:0002977, HP:0007364, HP:0007366, HP:0007367, HP:0007369, HP:0007371, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0012762, HP:0100547",24,0.000168889,,"benzo(a)pyrene, cortisone, floxuridine, hydrocortisone, racephedrine, vidarabine, zidovudine",
DUOX2,"HP:0002011, HP:0012443, HP:0012503, HP:0012639, HP:0012759",5,,2.78041E-07,,"clomifene, diphenhydramine, etretinate, mitotane"
EDEM3,"HP:0002011, HP:0002060, HP:0002500, HP:0002518, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,0.045400347,,chlorambucil,
EEF1A2,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002118, HP:0002500, HP:0002538, HP:0002977, HP:0006919, HP:0007343, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0012443, HP:0012444, HP:0012639, HP:0012703, HP:0012759, HP:0025100, HP:0030047, HP:0100547",23,9.1797E-07,,"ephedrine, leflunomide, methimazole",
EIF2S3,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002500, HP:0002977, HP:0006919, HP:0007364, HP:0007370, HP:0012443, HP:0012503, HP:0012639, HP:0012759, HP:0100547",15,,1.79389E-05,,"dimethadione, ethotoin, floxuridine, oxaprozin, phensuximide, vidarabine"
EIF4G1,"HP:0002011, HP:0002059, HP:0002060, HP:0002120, HP:0002538, HP:0002977, HP:0007367, HP:0007369, HP:0012443, HP:0012444, HP:0012639, HP:0100547, HP:0100705",13,,6.01276E-06,,"ketoprofen, mephenytoin"
EIF5A,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0100547",7,,7.38269E-06,,"betamethasone, calcipotriol, chloramphenicol, corynanthine, cyclopamine, diazepam, ephedrine, esmolol, ethotoin, isoxsuprine, levodopa, mebendazole, mefenamic-acid, oxaprozin, phensuximide, pyrimethamine, racephedrine, solanine, vidarabine, vinblastine"
ELN,"HP:0001317, HP:0001321, HP:0002011, HP:0002059, HP:0002060, HP:0002062, HP:0002120, HP:0002143, HP:0002414, HP:0002492, HP:0002538, HP:0002977, HP:0007360, HP:0007364, HP:0007367, HP:0007369, HP:0007372, HP:0009145, HP:0010301, HP:0010303, HP:0010651, HP:0010662, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012703, HP:0012759, HP:0100547, HP:0100659, HP:0410043",32,,0.000614541,,"acebutolol, flutamide, menadione, sertaconazole"
ELOVL4,"HP:0001272, HP:0001317, HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0007367, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",14,0.000798967,,bupivacaine,
ENPP1,"HP:0002011, HP:0002060, HP:0012443, HP:0012639, HP:0012759, HP:0100547, HP:0100659",7,,8.4064E-08,,"azacitidine, clomipramine, diethylstilbestrol, primidone, procarbazine, thalidomide, vidarabine"
EPHB2,"HP:0002011, HP:0012639",2,4.8132E-07,,"ethionamide, etidronic-acid",
ERBB2,"HP:0002011, HP:0012639, HP:0012759, HP:0100705, HP:0100707",5,,8.63797E-08,,"cytarabine, teniposide"
ERBB3,"HP:0002011, HP:0012443, HP:0012639, HP:0012759, HP:0040327, HP:0100547",6,,0.000101793,,"chloramphenicol, fluconazole"
ESR1,"HP:0002011, HP:0012443, HP:0012503, HP:0012639",4,,0.000929165,,"cycloheximide, isoprenaline, primidone, sparfloxacin, triamcinolone, vinblastine"
ETHE1,"HP:0002011, HP:0002060, HP:0002363, HP:0012443, HP:0012639, HP:0012751, HP:0012759, HP:0100547",8,,2.44864E-06,,resveratrol
